Date,CompostMass,BoolCook,WeekDay
23/06/2020,306,0,Tue
24/06/2020,0,0,Wed
25/06/2020,741,0,Thu
26/06/2020,565,1,Fri
27/06/2020,322,0,Sat
28/06/2020,355,1,Sun
29/06/2020,0,0,Mon
30/06/2020,606,1,Tue
1/7/2020,952,1,Wed
2/7/2020,600,1,Thu
3/7/2020,520,1,Fri
4/7/2020,404,1,Sat
5/7/2020,741,1,Sun
6/7/2020,0,0,Mon
7/7/2020,990,1,Tue
8/7/2020,420,1,Wed
9/7/2020,1020,1,Thu
10/7/2020,490,1,Fri
11/7/2020,947,1,Sat
12/7/2020,1040,1,Sun
13/7/2020,0,0,Mon
14/7/2020,1425,1,Tue
15/7/2020,835,1,Wed
16/7/2020,0,0,Thu
17/7/2020,1180,1,Fri
18/7/2020,700,1,Sat
19/7/2020,0,0,Sun
20/7/2020,1287,1,Mon
21/7/2020,0,0,Tue
22/7/2020,1083,1,Wed
23/7/2020,0,0,Thu
24/7/2020,0,0,Fri
25/7/2020,850,1,Sat
26/7/2020,1048,1,Sun
27/7/2020,0,0,Mon
28/7/2020,1800,1,Tue
29/7/2020,930,1,Wed
30/07/2020,0,0,Thu
31/7/2020,1080,1,Fri
1/8/2020,780,1,Sat
2/8/2020,1055,1,Sun
03/07/2020,0,0,Mon
4/7/2020,1250,1,Tue
